question_no,WrongAnswer,wronganswer_folder,issue_description,expected_correction
Question01,WrongAnswer,Not mention Prim. Attrib,not clearly mention primary attributes,"Not clearly mention primary attributes,Underline or mark primary keys clearly to identify main attributes of each entity"
Question01,WrongAnswer,No prim.Attrib,Primary attributes are not used,"Primary attributes are not used,Assign a proper primary key for every entity to uniquely identify records"
Question01,WrongAnswer,Wrong shape attributes,Shapes of attributes are wrong shape,"Shapes of attributes are wrong shape,Use oval (ellipse) shapes for attributes instead of rectangles or other shapes"
Question01,WrongAnswer,No relationships,No relationship between entities,"No relationship between entities,Add relationship diamonds to connect related entities with proper relationship names"
Question01,WrongAnswer,Wrong shape relationship,Shape of attributes are wrong,"Shape of attributes are wrong,Ensure all attributes follow standard ER notation using oval shapes"
Question01,WrongAnswer,Plural form,Attributes and entities are written in plural form,"Attributes and entities are written in plural form,Write entity and attribute names in singular form (e.g., Student not Students)"
Question01,WrongAnswer,Not enough attrib,Not enough attributes used,"Not enough attributes used,Include sufficient attributes that describe each entity clearly and completely"
Question02,WrongAnswer,Not mention Prim. Attrib,not clearly mention primary attributes,"Not clearly mention primary attributes,Underline or mark primary keys clearly to identify main attributes of each entity"
Question02,WrongAnswer,No prim.Attrib,Primary attributes are not used,"Primary attributes are not used,Assign a proper primary key for every entity to uniquely identify records"
Question02,WrongAnswer,Wrong shape attributes,Shapes of attributes are wrong shape,"Shapes of attributes are wrong shape,Use oval (ellipse) shapes for attributes instead of rectangles or other shapes"
Question02,WrongAnswer,No relationships,No relationship between entities,"No relationship between entities,Add relationship diamonds to connect related entities with proper relationship names"
Question02,WrongAnswer,Wrong shape relationship,Shape of attributes are wrong,"Shape of attributes are wrong,Ensure all attributes follow standard ER notation using oval shapes"
Question02,WrongAnswer,Plural form,Attributes and entities are written in plural form,"Attributes and entities are written in plural form,Write entity and attribute names in singular form (e.g., Student not Students)"
Question02,WrongAnswer,Not enough attrib,Not enough attributes used,"Not enough attributes used,Include sufficient attributes that describe each entity clearly and completely"
Question03,WrongAnswer,Not mention Prim. Attrib,not clearly mention primary attributes,"Not clearly mention primary attributes,Underline or mark primary keys clearly to identify main attributes of each entity"
Question03,WrongAnswer,No prim.Attrib,Primary attributes are not used,"Primary attributes are not used,Assign a proper primary key for every entity to uniquely identify records"
Question03,WrongAnswer,Wrong shape attributes,Shapes of attributes are wrong shape,"Shapes of attributes are wrong shape,Use oval (ellipse) shapes for attributes instead of rectangles or other shapes"
Question03,WrongAnswer,No relationships,No relationship between entities,"No relationship between entities,Add relationship diamonds to connect related entities with proper relationship names"
Question03,WrongAnswer,Wrong shape relationship,Shape of attributes are wrong,"Shape of attributes are wrong,Ensure all attributes follow standard ER notation using oval shapes"
Question03,WrongAnswer,Plural form,Attributes and entities are written in plural form,"Attributes and entities are written in plural form,Write entity and attribute names in singular form (e.g., Student not Students)"
Question03,WrongAnswer,Not enough attrib,Not enough attributes used,"Not enough attributes used,Include sufficient attributes that describe each entity clearly and completely"
Question04,WrongAnswer,Not mention Prim. Attrib,not clearly mention primary attributes,"Not clearly mention primary attributes,Underline or mark primary keys clearly to identify main attributes of each entity"
Question04,WrongAnswer,No prim.Attrib,Primary attributes are not used,"Primary attributes are not used,Assign a proper primary key for every entity to uniquely identify records"
Question04,WrongAnswer,Wrong shape attributes,Shapes of attributes are wrong shape,"Shapes of attributes are wrong shape,Use oval (ellipse) shapes for attributes instead of rectangles or other shapes"
Question04,WrongAnswer,No relationships,No relationship between entities,"No relationship between entities,Add relationship diamonds to connect related entities with proper relationship names"
Question04,WrongAnswer,Wrong shape relationship,Shape of attributes are wrong,"Shape of attributes are wrong,Ensure all attributes follow standard ER notation using oval shapes"
Question04,WrongAnswer,Plural form,Attributes and entities are written in plural form,"Attributes and entities are written in plural form,Write entity and attribute names in singular form (e.g., Student not Students)"
Question04,WrongAnswer,Not enough attrib,Not enough attributes used,"Not enough attributes used,Include sufficient attributes that describe each entity clearly and completely"
Question05,WrongAnswer,Not mention Prim. Attrib,not clearly mention primary attributes,"Not clearly mention primary attributes,Underline or mark primary keys clearly to identify main attributes of each entity"
Question05,WrongAnswer,No prim.Attrib,Primary attributes are not used,"Primary attributes are not used,Assign a proper primary key for every entity to uniquely identify records"
Question05,WrongAnswer,Wrong shape attributes,Shapes of attributes are wrong shape,"Shapes of attributes are wrong shape,Use oval (ellipse) shapes for attributes instead of rectangles or other shapes"
Question05,WrongAnswer,No relationships,No relationship between entities,"No relationship between entities,Add relationship diamonds to connect related entities with proper relationship names"
Question05,WrongAnswer,Wrong shape relationship,Shape of attributes are wrong,"Shape of attributes are wrong,Ensure all attributes follow standard ER notation using oval shapes"
Question05,WrongAnswer,Plural form,Attributes and entities are written in plural form,"Attributes and entities are written in plural form,Write entity and attribute names in singular form (e.g., Student not Students)"
Question05,WrongAnswer,Not enough attrib,Not enough attributes used,"Not enough attributes used,Include sufficient attributes that describe each entity clearly and completely"
Question06,WrongAnswer,Not mention Prim. Attrib,only yes condition taken,"Only yes condition taken,Include both Yes and No branches from every decision diamond"
Question06,WrongAnswer,No prim.Attrib,wrong shape for the calculation process,"Wrong shape for the calculation process,Use a rectangle shape for calculation or processing steps"
Question06,WrongAnswer,Wrong shape attributes,Used wrong shape for start and end,"Used wrong shape for start and end,Use oval (terminator) symbols for Start and End points"
Question06,WrongAnswer,No relationships,Used wrong shape for process step,"Used wrong shape for process step,Use rectangle symbols for process steps"
Question06,WrongAnswer,Wrong shape relationship,used wrong shape for the condition,"Used wrong shape for the condition,Use diamond shapes for decision/condition steps"
Question06,WrongAnswer,Plural form,used wrong condition,"Used wrong condition,Write clear and logical decision statements that can be answered with Yes/No"
Question06,WrongAnswer,Not enough attrib,shuffle the condition paths(yes.no),"Shuffle the condition paths (yes/no),Ensure Yes and No paths are correctly labeled and connected in the proper direction"
Question07,WrongAnswer,Not mention Prim. Attrib,only yes condition taken,"Only yes condition taken,Include both Yes and No branches from every decision diamond"
Question07,WrongAnswer,No prim.Attrib,wrong shape for the calculation process,"Wrong shape for the calculation process,Use a rectangle shape for calculation or processing steps"
Question07,WrongAnswer,Wrong shape attributes,Used wrong shape for start and end,"Used wrong shape for start and end,Use oval (terminator) symbols for Start and End points"
Question07,WrongAnswer,No relationships,Used wrong shape for process step,"Used wrong shape for process step,Use rectangle symbols for process steps"
Question07,WrongAnswer,Wrong shape relationship,used wrong shape for the condition,"Used wrong shape for the condition,Use diamond shapes for decision/condition steps"
Question07,WrongAnswer,Plural form,used wrong condition,"Used wrong condition,Write clear and logical decision statements that can be answered with Yes/No"
Question07,WrongAnswer,Not enough attrib,shuffle the condition paths(yes.no),"Shuffle the condition paths (yes/no),Ensure Yes and No paths are correctly labeled and connected in the proper direction"
Question08,WrongAnswer,Not mention Prim. Attrib,only yes condition taken,"Only yes condition taken,Include both Yes and No branches from every decision diamond"
Question08,WrongAnswer,No prim.Attrib,wrong shape for the calculation process,"Wrong shape for the calculation process,Use a rectangle shape for calculation or processing steps"
Question08,WrongAnswer,Wrong shape attributes,Used wrong shape for start and end,"Used wrong shape for start and end,Use oval (terminator) symbols for Start and End points"
Question08,WrongAnswer,No relationships,Used wrong shape for process step,"Used wrong shape for process step,Use rectangle symbols for process steps"
Question08,WrongAnswer,Wrong shape relationship,used wrong shape for the condition,"Used wrong shape for the condition,Use diamond shapes for decision/condition steps"
Question08,WrongAnswer,Plural form,used wrong condition,"Used wrong condition,Write clear and logical decision statements that can be answered with Yes/No"
Question08,WrongAnswer,Not enough attrib,shuffle the condition paths(yes.no),"Shuffle the condition paths (yes/no),Ensure Yes and No paths are correctly labeled and connected in the proper direction"
Question09,WrongAnswer,Not mention Prim. Attrib,only yes condition taken,"Only yes condition taken,Include both Yes and No branches from every decision diamond"
Question09,WrongAnswer,No prim.Attrib,wrong shape for the calculation process,"Wrong shape for the calculation process,Use a rectangle shape for calculation or processing steps"
Question09,WrongAnswer,Wrong shape attributes,Used wrong shape for start and end,"Used wrong shape for start and end,Use oval (terminator) symbols for Start and End points"
Question09,WrongAnswer,No relationships,Used wrong shape for process step,"Used wrong shape for process step,Use rectangle symbols for process steps"
Question09,WrongAnswer,Wrong shape relationship,used wrong shape for the condition,"Used wrong shape for the condition,Use diamond shapes for decision/condition steps"
Question09,WrongAnswer,Plural form,used wrong condition,"Used wrong condition,Write clear and logical decision statements that can be answered with Yes/No"
Question09,WrongAnswer,Not enough attrib,shuffle the condition paths(yes.no),"Shuffle the condition paths (yes/no),Ensure Yes and No paths are correctly labeled and connected in the proper direction"
Question10,WrongAnswer,Not mention Prim. Attrib,only yes condition taken,"Only yes condition taken,Include both Yes and No branches from every decision diamond"
Question10,WrongAnswer,No prim.Attrib,wrong shape for the calculation process,"Wrong shape for the calculation process,Use a rectangle shape for calculation or processing steps"
Question10,WrongAnswer,Wrong shape attributes,Used wrong shape for start and end,"Used wrong shape for start and end,Use oval (terminator) symbols for Start and End points"
Question10,WrongAnswer,No relationships,Used wrong shape for process step,"Used wrong shape for process step,Use rectangle symbols for process steps"
Question10,WrongAnswer,Wrong shape relationship,used wrong shape for the condition,"Used wrong shape for the condition,Use diamond shapes for decision/condition steps"
Question10,WrongAnswer,Plural form,used wrong condition,"Used wrong condition,Write clear and logical decision statements that can be answered with Yes/No"
Question10,WrongAnswer,Not enough attrib,shuffle the condition paths(yes.no),"Shuffle the condition paths (yes/no),Ensure Yes and No paths are correctly labeled and connected in the proper direction"
